id,name,addr1,addr2,lat,lon,bikes_avail,spots_avail,spots_total,status,status_key,test_stn
72,W 52 St & 11 Ave,W 52 St & 11 Ave,,40.76727216,-73.99392888,1,37,39,In Service,1,False
79,Franklin St & W Broadway,Franklin St & W Broadway,,40.71911552,-74.00666661,27,6,33,In Service,1,False
82,St James Pl & Pearl St,St James Pl & Pearl St,,40.71117416,-74.00016545,14,12,26,In Service,1,False
83,Atlantic Ave & Fort Greene Pl,Atlantic Ave & Fort Greene Pl,,40.68382604,-73.97632328,0,62,62,In Service,1,False
116,W 17 St & 8 Ave,W 17 St & 8 Ave,,40.74177603,-74.00149746,25,14,39,In Service,1,False
119,Park Ave & St Edwards St,Park Ave & St Edwards St,,40.69608941,-73.97803415,0,19,19,In Service,1,False
120,Lexington Ave & Classon Ave,Lexington Ave & Classon Ave,,40.68676793,-73.95928168,1,18,19,In Service,1,False
127,Barrow St & Hudson St,Barrow St & Hudson St,,40.73172428,-74.00674436,3,28,31,In Service,1,False
128,MacDougal St & Prince St,MacDougal St & Prince St,,40.72710258,-74.00297088,21,9,30,In Service,1,False
137,E 56 St & Madison Ave,E 56 St & Madison Ave,,40.761628,-73.972924,42,4,46,In Service,1,False
143,Clinton St & Joralemon St,Clinton St & Joralemon St,,40.69239502,-73.99337909,0,24,24,In Service,1,False
144,Nassau St & Navy St,Nassau St & Navy St,,40.69839895,-73.98068914,4,15,19,In Service,1,False
146,Hudson St & Reade St,Hudson St & Reade St,,40.71625008,-74.0091059,15,24,39,In Service,1,False
147,Greenwich St & Warren St,Greenwich St & Warren St,,40.71542197,-74.01121978,28,5,33,In Service,1,False
150,E 2 St & Avenue C,E 2 St & Avenue C,,40.7208736,-73.98085795,0,31,31,In Service,1,False
151,Cleveland Pl & Spring St,Cleveland Pl & Spring St,,40.7218158,-73.99720307,29,4,33,In Service,1,False
152,Warren St & Church St,Warren St & Church St,,40.71473993,-74.00910627,11,18,29,In Service,1,False
153,E 40 St & 5 Ave,E 40 St & 5 Ave,,40.752062307,-73.9816324043,46,9,55,In Service,1,False
157,Henry St & Atlantic Ave,Henry St & Atlantic Ave,,40.69089272,-73.99612349,0,23,23,In Service,1,False
160,E 37 St & Lexington Ave,E 37 St & Lexington Ave,,40.748238,-73.978311,0,26,26,In Service,1,False
161,LaGuardia Pl & W 3 St,LaGuardia Pl & W 3 St,,40.72917025,-73.99810231,27,8,35,In Service,1,False
164,E 47 St & 2 Ave,E 47 St & 2 Ave,,40.75323098,-73.97032517,44,3,47,In Service,1,False
167,E 39 St & 3 Ave,E 39 St & 3 Ave,,40.7489006,-73.97604882,36,9,45,In Service,1,False
168,W 18 St & 6 Ave,W 18 St & 6 Ave,,40.73971301,-73.99456405,42,5,47,In Service,1,False
173,Broadway & W 49 St,Broadway & W 49 St,,40.76064679,-73.98442659,18,33,51,In Service,1,False
174,E 25 St & 1 Ave,E 25 St & 1 Ave,,40.7381765,-73.97738662,1,29,30,In Service,1,False
195,Liberty St & Broadway,Liberty St & Broadway,,40.70905623,-74.01043382,42,3,45,In Service,1,False
212,W 16 St & The High Line,W 16 St & The High Line,,40.74334935,-74.00681753,24,4,28,In Service,1,False
216,Columbia Heights & Cranberry St,Columbia Heights & Cranberry St,,40.70037867,-73.99548059,0,23,23,In Service,1,False
217,Old Fulton St,Old Fulton St,,40.70277159,-73.99383605,4,35,39,In Service,1,False
218,Gallatin Pl & Livingston St,Gallatin Pl & Livingston St,,40.69028437,-73.98707105,3,35,38,In Service,1,False
223,W 13 St & 7 Ave,W 13 St & 7 Ave,,40.73781509,-73.99994661,1,32,33,In Service,1,False
224,Spruce St & Nassau St,Spruce St & Nassau St,,40.71146364,-74.00552427,11,20,31,In Service,1,False
225,W 14 St & The High Line,W 14 St & The High Line,,40.74195138,-74.00803013,20,17,37,In Service,1,False
