Rank	Name	Brewery	Type	ABV	WR	Reviews
1	Heady Topper	The Alchemist	Imperial IPA	8	4.69	3146
2	Pliny The Younger	Russian River Brewing Company	Imperial IPA	11	4.65	1572
3	Pliny The Elder	Russian River Brewing Company	Imperial IPA	8	4.64	6129
4	Founders CBS Imperial Stout	Founders Brewing Company	Imperial Stout	10.6	4.63	2026
5	Founders KBS (Kentucky Breakfast Stout)	Founders Brewing Company	Imperial Stout	11.2	4.61	4714
6	Zombie Dust	Three Floyds Brewing Co. & Brewpub	American Pale Ale	6.4	4.61	2978
7	Trappist Westvleteren 12 (XII)	Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)		10.2	4.61	2891
8	Bourbon County Brand Coffee Stout	Goose Island Beer Co.	Imperial Stout	14	4.61	2014
9	Parabola	Firestone Walker Brewing Co.	Imperial Stout	12.5	4.55	2178
10	Bourbon Barrel Aged Vanilla Bean Dark Lord	Three Floyds Brewing Co. & Brewpub	Imperial Stout	15	4.55	429
11	The Abyss	Deschute Brewery	Imperial Stout	11	4.53	3032
12	Supplication	Russian River Brewing Company	Imperial Stout	7	4.53	2715
13	Bell's Hopslam Ale	Bell's Brewing Company	Imperial IPA	10	4.52	6267
14	Cantillon Fou' Foune	Brasserie Cantillon	Fruit	5	4.52	914
15	Founders Breakfast Stout	Founders Brewing Company	Imperial Stout	8.3	4.51	6956
16	Trappistes Rochefort 10	Brasserie de Rochefort		11.3	4.51	4451
17	Bourbon County Brand Stout	Goose Island Beer Co.	Imperial Stout	15	4.51	4239
18	Citra DIPA	Kern River Brewing Company	Imperial IPA	8	4.51	714
19	Hunahpu's Imperial Stout	Cigar City Brewing	Imperial Stout	11	4.5	1204
20	Dark Horse Bourbon Barrel Aged Plead The 5th	Dark Horse Brewing Company	Imperial Stout	14	4.5	787
21	å¤ucaba (Abacus)	Firestone Walker Brewing Co.		12.5	4.49	1704
22	Bell's Black Note Stout	Bell's Brewing Company	Imperial Stout	11.5	4.49	1221
23	Kuhnhenn Bourbon Barrel Fourth Dementia	Kuhnhenn Brewing Company	Old Ale	13.5	4.49	786
24	Abrasive Ale	Surly Bewing Company	Imperial IPA	9	4.48	1662
25	Abner	Hill Farmstead Brewery	Imperial IPA	8.2	4.48	611
26	Double Sunshine IPA	Lawson's Finest Liquids	Imperial IPA	8	4.48	568
27	Black Tuesday	The Bruery	Imperial Stout	19.2	4.47	1267
28	Trappist Westvleteren 8 (VIII)	Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)		8	4.47	1137
29	Beatification	Russian River Brewing Company		5.5	4.46	994
30	St. Bernardus Abt 12	Brouwerij St. Bernardus NV		10	4.45	4517
31	Darkness	Surly Bewing Company	Imperial Stout	10.3	4.45	1481
32	Cantillon Lou Pepe - Kriek	Brasserie Cantillon	Fruit	5	4.45	684
33	Consecration	Russian River Brewing Company		10	4.44	2094
34	Double Galaxy	Hill Farmstead Brewery	Imperial IPA	8	4.44	375
35	Dreadnaught IPA	Three Floyds Brewing Co. & Brewpub	Imperial IPA	9.5	4.43	3018
36	Temptation	Russian River Brewing Company		7.5	4.43	1731
37	Cantillon Saint Lamvinus	Brasserie Cantillon	Fruit	6	4.42	774
38	Everett PorterAmerican Porte	Hill Farmstead Brewery	Porter	7.5	4.42	666
39	Duck Duck Gooze	The Lost Abbey		7	4.42	404
40	Cantillon BlÌ´bÌ_r LambikLambic	Brasserie Cantillon	Fruit	5	4.42	378
41	Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel	Cigar City Brewing	Imperial Stout	11.5	4.42	251
42	Sculpin India Pale Ale	Ballast Point Brewing Company	American IPA	7	4.41	4099
43	Weihenstephaner Hefeweissbier	Bayerishe Staatsbrauerei Weihenstephan		5.4	4.41	3794
44	AleSmith Speedway Stout	Smith Brewing Company	Imperial Stout	12	4.41	2554
45	Ephraim	Hill Farmstead Brewery	Imperial IPA	10.5	4.41	356
46	Mother Of All Storms	Pelican Pub & Brewery	English Barleywine	14	4.4	805
47	Adam From The Wood	Brewery and Tasting Room	Old Ale	12	4.4	305
48	Enjoy By IPA	Stone Brewing Co.	Imperial IPA	9.4	4.39	1885
49	Cantillon Gueuze 100% Lambic	Brasserie Cantillon	Lambic Gueuze	5	4.39	1086
50	AleSmith Speedway Stout - Barrel Aged	Smith Brewing Company	Imperial Stout	12	4.39	540
51	Cable Car	The Lost Abbey	Wild Ale	7	4.39	345
52	TrÌ¦egs Nugget Nectar	TrÌ¦egs Brewing Company	Red Ale	7.5	4.38	4315
53	PÌ©chÌ© Mortel (Imperial Stout Au Cafe)	Brasserie Dieu Du Ciel	Imperial Stout	9.5	4.38	2270
54	Samuel Adams Utopias	Boston Beer Company (Samuel Adams)	American Strong Ale	29	4.38	933
55	Bourbon Barrel Aged Dark Lord Imperial Stout	Three Floyds Brewing Co. & Brewpub	Imperial Stout	15	4.38	316
56	Imperial Russian Stout	Stone Brewing Co.	Imperial Stout	10.5	4.37	4265
57	Lagunitas Sucks Brown Shugga Substitute Ale	Lagunitas Brewing Company	Imperial IPA	7.85	4.37	3571
58	Victory At Sea Coffee Vanilla Imperial PorterAmerican Porter	Ballast Point Brewing Company	Porter	10	4.37	1747
59	Nelson	Alpine Beer Company	American IPA	7.1	4.37	1054
60	Exponential Hoppiness	Alpine Beer Company	Imperial IPA	11	4.37	708
61	Bell's Bourbon Barrel Aged Batch 9000	Bell's Brewing Company	American Strong Ale	14.9	4.37	317
62	Founders Imperial Stout	Founders Brewing Company	Imperial Stout	10.5	4.36	3080
63	Wet	Surly Bewing Company	American IPA	7.5	4.36	819
64	Imperial Eclipse Stout - Elijah Craig (12 Year)	FiftyFifty Brewing Company	Imperial Stout	9.5	4.36	556
65	Cherry Rye Bourbon County Brand Stout	Goose Island Beer Co.	Imperial Stout	13.7	4.36	531
66	Chocolate Rain	The Bruery	Imperial Stout	19.5	4.36	482
67	Hoppy Birthday	Alpine Beer Company	American Pale Ale	5.25	4.36	262
68	Ten FIDY	Oskar Blues Brewing Company	Imperial Stout	10.5	4.35	3852
69	Ayinger Celebrator Doppelbock	Privatbrauerei Franz Inselkammer KG	Doppelbock	6.7	4.35	3482
70	Furious	Surly Bewing Company	American IPA	6.2	4.35	2347
71	Duet IPA	Alpine Beer Company	American IPA	7	4.35	842
72	Evil Twin Imperial Biscotti Break	Evil Twin Brewing	Imperial Stout	11.5	4.35	748
73	Brute	Ithaca Beer Company	Wild Ale	6.5	4.35	672
74	Silva Stout	Green Flash Brewing Co.	Imperial Stout	10.1	4.35	479
75	Cascade Sang Noir	Raccoon Lodge & Brewpub	American Wild Ale	9.5	4.35	468
